[2021-07-02 04:31:09]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-NAME_Spoof
[2021-07-02 04:40:59]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 04:40:59]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 04:40:59]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: Bimbocsavar12 | 163766764 | 82.131.131.46 | 1384350510 | 27EB8C127D8F2793 | 2876546798050027411 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: dudu_S1 | 191540801 | 89.26.72.15 | 1494894607 | D64ADAF5C257D647 | -3005349052254005689 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: dudu_S1 | 191540801 | 89.26.72.15 | 1494894607 | D64ADAF5C257D647 | -3005349052254005689 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: Morgan_FreeMans | 171899597 | 176.105.204.216 | 2959723736 | 5CB5548F20482257 | 6680338595972653655 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Scoof10 | 159745978 | 79.158.177.170 | 1335800234 | A13CC5BAAD7BACE4 | -6828365529435362076 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Scoof10 | 159745978 | 79.158.177.170 | 1335800234 | A13CC5BAAD7BACE4 | -6828365529435362076 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: Logan_RG | 2438443 | 176.63.243.68 | 2956981060 | 2DC327A4D630FB4B | 3297522941086989131 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Nyezso | 156365355 | 82.3.57.124 | 1375943036 | F4A67FEB82690B0 | 1101807402554396848 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Nilsii001 | 97438527 | 89.183.80.233 | 1505186025 | 955CDC023401C9E5 | -7684024962180331035 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Nilsii001 | 97438527 | 89.183.80.233 | 1505186025 | 955CDC023401C9E5 | -7684024962180331035 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: markusse21 | 167743693 | 185.5.167.191 | 3104155583 | 584533052B308BBE | 6360546146023148478 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Bimbocsavar12 | 163766764 | 82.131.131.46 | 1384350510 | 27EB8C127D8F2793 | 2876546798050027411 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: dudu_S1 | 191540801 | 89.26.72.15 | 1494894607 | D64ADAF5C257D647 | -3005349052254005689 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: dudu_S1 | 191540801 | 89.26.72.15 | 1494894607 | D64ADAF5C257D647 | -3005349052254005689 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: Morgan_FreeMans | 171899597 | 176.105.204.216 | 2959723736 | 5CB5548F20482257 | 6680338595972653655 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Scoof10 | 159745978 | 79.158.177.170 | 1335800234 | A13CC5BAAD7BACE4 | -6828365529435362076 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Scoof10 | 159745978 | 79.158.177.170 | 1335800234 | A13CC5BAAD7BACE4 | -6828365529435362076 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: Logan_RG | 2438443 | 176.63.243.68 | 2956981060 | 2DC327A4D630FB4B | 3297522941086989131 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Nyezso | 156365355 | 82.3.57.124 | 1375943036 | F4A67FEB82690B0 | 1101807402554396848 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Nilsii001 | 97438527 | 89.183.80.233 | 1505186025 | 955CDC023401C9E5 | -7684024962180331035 : was detected for Ang-IP_Spoof
[2021-07-02 19:24:15]: Nilsii001 | 97438527 | 89.183.80.233 | 1505186025 | 955CDC023401C9E5 | -7684024962180331035 : was detected for Ang-HOST_Spoof
[2021-07-02 19:24:15]: markusse21 | 167743693 | 185.5.167.191 | 3104155583 | 584533052B308BBE | 6360546146023148478 : was detected for Ang-IP_Spoof
[2021-07-02 19:29:48]: TheblueElephan | 151301054 | 188.193.221.211 | 3166821843 | 38F62A05F1F8117F | 4104514315417555327 : was detected for Ang-IP_Spoof
[2021-07-02 19:34:58]: JUNKELGAME | 190353687 | 85.61.232.56 | 1430120504 | 7CE4B7A571FF64D0 | 8999519876603143376 : was detected for Ang-IP_Spoof
[2021-07-02 19:35:33]: CornerBoyYB | 166420223 | 94.195.102.223 | 1589864159 | 714E8B386BF9C897 | 8164616248915249303 : was detected for Ang-IP_Spoof
[2021-07-02 19:36:06]: Jamesy1111 | 170821451 | 213.152.188.22 | 3583556630 | 8D9C30A2599F6400 | -8242659744148397056 : was detected for Ang-IP_Spoof
[2021-07-02 19:36:06]: Jamesy1111 | 170821451 | 213.152.188.22 | 3583556630 | 8D9C30A2599F6400 | -8242659744148397056 : was detected for Ang-HOST_Spoof
[2021-07-02 19:36:35]: Logan_RG | 2438443 | 176.63.243.68 | 2956981060 | 2DC327A4D630FB4B | 3297522941086989131 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: JanStr95 | 11885873 | 79.238.158.240 | 1341038320 | 600E86CCFA12CC83 | 6921617892242017411 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: ProfCM | 192584941 | 5.18.244.190 | 85128382 | 4D564DF5F7681C6 | 348295456733168070 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: MschmM | 50456320 | 79.238.146.12 | 1341035020 | 4AB02036E89BE362 | 5381836974910595938 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: kamper08 | 159568676 | 95.55.85.42 | 1597461802 | E97DF03669D89DF | 1051554243713796575 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: Lund_in_da_haus | 134663457 | 91.144.217.238 | 1536219630 | C81EC408765CB19 | 901261162344467225 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-HOST_Spoof
[2021-07-02 19:47:26]: JanStr95 | 11885873 | 79.238.158.240 | 1341038320 | 600E86CCFA12CC83 | 6921617892242017411 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: ProfCM | 192584941 | 5.18.244.190 | 85128382 | 4D564DF5F7681C6 | 348295456733168070 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: MschmM | 50456320 | 79.238.146.12 | 1341035020 | 4AB02036E89BE362 | 5381836974910595938 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: kamper08 | 159568676 | 95.55.85.42 | 1597461802 | E97DF03669D89DF | 1051554243713796575 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: Lund_in_da_haus | 134663457 | 91.144.217.238 | 1536219630 | C81EC408765CB19 | 901261162344467225 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: TheAngerist69420 | 191126040 | 212.129.41.135 | 3565234567 | BE050E98808826CF | -4754377783465466161 : was detected for Ang-HOST_Spoof
[2021-07-02 19:47:26]: lyuersteam | 192928515 | 37.201.194.247 | 633979639 | EF157B5BF9C76D82 | -1218932489171014270 : was detected for Ang-IP_Spoof
[2021-07-02 19:47:26]: lyuersteam | 192928515 | 37.201.194.247 | 633979639 | EF157B5BF9C76D82 | -1218932489171014270 : was detected for Ang-HOST_Spoof
[2021-07-02 19:53:12]: crackeddario46 | 160056458 | 93.220.65.148 | 1574715796 | C9FFF84ECF191E96 | -3891118535659151722 : was detected for Ang-IP_Spoof
[2021-07-02 19:53:12]: crackeddario46 | 160056458 | 93.220.65.148 | 1574715796 | C9FFF84ECF191E96 | -3891118535659151722 : was detected for Ang-HOST_Spoof
[2021-07-02 20:08:57]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 20:08:58]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 20:08:58]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 20:08:58]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 20:08:58]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 20:08:58]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 20:10:51]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 20:10:51]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 20:10:51]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 20:10:51]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 20:14:35]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 20:14:35]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 20:14:35]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 20:14:35]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 20:15:14]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 20:15:14]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 20:15:14]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 20:15:14]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 20:19:17]: AngerSometimes | 191126040 | 75.75.21.199 | 1263211975 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 20:19:17]: ThaDoobMeister | 99097427 | 213.127.85.196 | 3581892036 | 1E554DCCEAE98 | 533627621256856 : was detected for Ang-HOST_Spoof
[2021-07-02 20:19:17]: AngerSometimes | 191126040 | 75.75.21.199 | 1263211975 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 20:19:17]: ThaDoobMeister | 99097427 | 213.127.85.196 | 3581892036 | 1E554DCCEAE98 | 533627621256856 : was detected for Ang-HOST_Spoof
[2021-07-02 20:27:57]: AngerSometimes | 191126040 | 75.75.21.199 | 1263211975 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 20:27:57]: ThaDoobMeister | 99097427 | 213.127.85.196 | 3581892036 | 1E554DCCEAE98 | 533627621256856 : was detected for Ang-HOST_Spoof
[2021-07-02 20:29:37]: AngerSometimes | 191126040 | 75.75.21.199 | 1263211975 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:20:18]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:20:18]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:20:18]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:20:18]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:24:53]: -Kafky | 127568305 | 89.64.41.198 | 1497377222 | A1FE975F1627EF6F | -6773810354869244049 : was detected for Ang-NAME_Spoof
[2021-07-02 23:24:53]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:24:53]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:24:53]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:25:17]: -Kafky | 127568305 | 89.64.41.198 | 1497377222 | A1FE975F1627EF6F | -6773810354869244049 : was detected for Ang-NAME_Spoof
[2021-07-02 23:25:17]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:25:17]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:25:17]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:26:51]: Zeterg | 167775621 | 93.72.171.95 | 1565043551 | 439FFF8FA64708D0 | 4872894314273245392 : was detected for Ang-NAME_Spoof
[2021-07-02 23:28:55]: Zeterg | 167775621 | 93.72.171.95 | 1565043551 | 439FFF8FA64708D0 | 4872894314273245392 : was detected for Ang-NAME_Spoof
[2021-07-02 23:28:55]: -Kafky | 127568305 | 89.64.41.198 | 1497377222 | A1FE975F1627EF6F | -6773810354869244049 : was detected for Ang-NAME_Spoof
[2021-07-02 23:28:55]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:28:55]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:28:55]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:30:43]: -Kafky | 127568305 | 89.64.41.198 | 1497377222 | A1FE975F1627EF6F | -6773810354869244049 : was detected for Ang-NAME_Spoof
[2021-07-02 23:30:43]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:30:43]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:30:43]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:31:21]: xzenus | 20413586 | 92.37.143.113 | 1545965425 | A4D177FACC6B7A3 | 742275350712989603 : was detected for Ang-NAME_Spoof
[2021-07-02 23:32:50]: -Kafky | 127568305 | 89.64.41.198 | 1497377222 | A1FE975F1627EF6F | -6773810354869244049 : was detected for Ang-NAME_Spoof
[2021-07-02 23:32:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:32:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:32:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:32:50]: xzenus | 20413586 | 92.37.143.113 | 1545965425 | A4D177FACC6B7A3 | 742275350712989603 : was detected for Ang-NAME_Spoof
[2021-07-02 23:33:23]: -Kafky | 127568305 | 89.64.41.198 | 1497377222 | A1FE975F1627EF6F | -6773810354869244049 : was detected for Ang-NAME_Spoof
[2021-07-02 23:33:23]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:33:23]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:33:23]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:33:23]: xzenus | 20413586 | 92.37.143.113 | 1545965425 | A4D177FACC6B7A3 | 742275350712989603 : was detected for Ang-NAME_Spoof
[2021-07-02 23:33:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:33:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:33:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:39:06]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:39:06]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:39:06]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:40:00]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:40:00]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:40:00]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:40:34]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:40:34]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:40:34]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:43:41]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:43:41]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:43:41]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:44:19]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:44:19]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:44:19]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:44:47]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:44:47]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:44:47]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:45:50]: MotherSam | 114000741 | 213.31.140.246 | 3575614710 | CD9452595967F97 | 925847226127122327 : was detected for Ang-SCID_Spoof
[2021-07-02 23:45:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:45:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:45:50]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:46:44]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:46:44]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:46:44]: MrBigFTW | 191126040 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:47:58]: MrBigFTW | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 23:47:58]: MrBigFTW | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 23:47:58]: MrBigFTW | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 23:47:58]: MrBigFTW | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 23:47:58]: Jamata-T. | 80631670 | 46.5.229.46 | 772138286 | 998F414B60F3E276 | -7381609472232005002 : was detected for Ang-NAME_Spoof
[2021-07-02 23:47:58]: Granbeezy | 9913707 | 98.128.173.170 | 1652600234 | DBCDF2347304E239 | -2608162302095728071 : was detected for Ang-SCID_Spoof
[2021-07-03 04:15:36]: -Akymi- | 524074 | 91.204.149.52 | 1540134196 | E92CA76992517865 | -1644755692028856219 : was detected for Ang-SCID_Spoof
[2021-07-03 05:05:07]: NO_VASELINE | 136919266 | 152.89.46.199 | 2555981511 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-03 05:05:07]: NO_VASELINE | 136919266 | 152.89.46.199 | 2555981511 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-03 19:36:11]: San4oouS | 2843415 | 77.232.147.74 | 1307087690 | 69FF2C45390E82D9 | 7637872168865268441 : was detected for Ang-SCID_Spoof
[2021-07-03 19:36:11]: San4oouS | 2843415 | 77.232.147.74 | 1307087690 | 69FF2C45390E82D9 | 7637872168865268441 : was detected for Ang-SCID_Spoof
[2021-07-03 19:51:09]: Radulf95 | 423432 | 85.147.218.214 | 1435753174 | 659E29CAFFC6DC9E | 7322335996002360478 : was detected for Ang-SCID_Spoof
[2021-07-03 19:51:38]: Radulf95 | 423432 | 85.147.218.214 | 1435753174 | 659E29CAFFC6DC9E | 7322335996002360478 : was detected for Ang-SCID_Spoof
[2021-07-03 20:21:32]: Dragonul.alb | 97434253 | 78.96.72.39 | 1314932775 | 7BF470E1DD53BB02 | 8931888076365740802 : was detected for Ang-NAME_Spoof
[2021-07-03 21:03:23]: NikolyakaGr. | 65969562 | 212.232.60.29 | 3571989533 | 38F4BD27A9796375 | 4104113138486043509 : was detected for Ang-NAME_Spoof
[2021-07-03 21:43:00]: RuFO.ok | 109248151 | 83.23.119.167 | 1394046887 | 9D1B3470B811C606 | -7126044326654523898 : was detected for Ang-NAME_Spoof
[2021-07-03 23:25:11]: RealSlavicGuy. | 64508528 | 83.5.234.73 | 1392896585 | 397EA33EB528D528 | 4142928196950086952 : was detected for Ang-NAME_Spoof
[2021-07-03 23:26:23]: RealSlavicGuy. | 64508528 | 83.5.234.73 | 1392896585 | 397EA33EB528D528 | 4142928196950086952 : was detected for Ang-NAME_Spoof
[2021-07-03 23:26:38]: RealSlavicGuy. | 64508528 | 83.5.234.73 | 1392896585 | 397EA33EB528D528 | 4142928196950086952 : was detected for Ang-NAME_Spoof
[2021-07-04 01:25:26]: NO_VASELINE | 136919266 | 152.89.46.199 | 2555981511 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-04 01:59:53]: Exception | 656809 | 176.127.221.30 | 2961169694 | 11497065692AE07D | 1245650352803078269 : was detected for Ang-SCID_Spoof
[2021-07-05 14:12:52]: topf | 187114186 | 178.114.186.79 | 2993863247 | FEBE9F793671DA08 | -90459599547540984 : was detected for Ang-NAME_Spoof
[2021-07-05 14:43:48]: MATHIAS.BOSS | 87135092 | 188.183.140.107 | 3166145643 | CE9238E46DA37274 | -3561721801553513868 : was detected for Ang-NAME_Spoof
[2021-07-05 15:22:50]: Dr.Hannibal_DE | 86293048 | 83.216.234.115 | 1406724723 | 5F9DB02F4342A3B5 | 6889856721985119157 : was detected for Ang-NAME_Spoof
[2021-07-05 15:26:08]: .Flix. | 89630513 | 86.141.167.27 | 1452123931 | B39EE80433A52D98 | -5503706589856191080 : was detected for Ang-NAME_Spoof
